Age,ClothingID,Rating,ClassName
33,767,4,Intimates
34,1080,5,Dresses
60,1077,3,Dresses
50,1049,5,Pants
47,847,5,Blouses
49,1080,2,Dresses
39,858,5,Knits
39,858,4,Knits
24,1077,5,Dresses
34,1077,5,Dresses
53,1077,3,Dresses
39,1095,5,Dresses
53,1095,5,Dresses
44,767,5,Intimates
50,1077,3,Dresses
47,1065,4,Pants
34,1065,3,Pants
41,853,5,Blouses
32,1120,5,Outerwear
47,1077,5,Dresses
33,847,4,Blouses
55,1080,4,Dresses
31,1077,2,Dresses
34,1077,3,Dresses
55,847,5,Blouses
31,697,3,Lounge
33,949,2,Sweaters
31,1003,4,Skirts
53,684,5,Lounge
28,4,5,Sweaters
33,1060,5,Pants
46,1060,5,Pants
21,1060,5,Pants
36,949,2,Sweaters
39,697,5,Lounge
65,1060,4,Pants
29,1002,4,Skirts
38,949,5,Sweaters
36,684,5,Lounge
59,862,5,Knits
47,862,4,Knits
40,862,5,Knits
23,910,5,Fine gauge
67,89,4,Sleep
48,862,5,Knits
43,862,4,Knits
40,862,5,Knits
52,823,5,Blouses
56,910,5,Fine gauge
33,862,5,Knits
46,862,4,Knits
41,862,5,Knits
39,1104,3,Dresses
39,862,5,Knits
66,862,4,Knits
61,862,5,Knits
33,368,2,Intimates
31,862,3,Knits
36,1095,4,Dresses
52,368,4,Intimates
41,1095,5,Dresses
36,368,1,Intimates
28,862,5,Knits
57,862,5,Knits
43,862,5,Knits
58,862,4,Knits
60,862,4,Knits
40,862,5,Knits
37,862,2,Knits
56,1078,3,Dresses
38,845,4,Blouses
36,822,2,Blouses
27,850,5,Blouses
47,866,4,Knits
59,1081,5,Dresses
48,845,5,Blouses
31,1082,4,Dresses
28,850,2,Blouses
47,836,5,Blouses
62,1081,4,Dresses
68,1072,5,Dresses
61,863,5,Knits
33,1133,5,Outerwear
68,822,5,Blouses
37,861,3,Knits
58,866,1,Knits
39,850,4,Blouses
39,1081,4,Dresses
38,845,2,Blouses
24,836,4,Blouses
51,1078,4,Dresses
29,850,5,Blouses
23,861,5,Knits
31,1081,5,Dresses
23,850,4,Blouses
83,863,5,Knits
44,845,1,Blouses
